{5; 5}; f(x)={106}
{4.5936110807; 1.952083105}; f(x)={12.9370008874}
{1.4882822785; 2.3661449246}; f(x)={1.5790406414}
{1.4386797291; 1.994193648}; f(x)={0.192777042}
{1.0591770668; 2.0444245091}; f(x)={0.0232372953}
{1.0531649097; 1.9992909559}; f(x)={0.0028315351}
{1.0071853022; 2.0054231149}; f(x)={0.0003457303}
{1.0064557795; 1.9999170341}; f(x)={0.0000417459}
{1.0006441996; 2.0006639042}; f(x)={0.0000048227}
{1.0005793582; 1.999995656}; f(x)={0.0000003358}
{0.9996055292; 2.0000686733}; f(x)={0.0000002028}
{0.9996663313; 1.9999628231}; f(x)={0.0000001252}
